fixing_commit,introducing_commit,cve_id,subsystem,fixing_date,introducing_date,fix_subject,files_changed,insertions,deletions
1adaea51c61b,d2d6422f8bd1,,networking,2025-12-30 12:04:36 +0100,2024-09-17 11:05:53 +0200,ipv6: fix a BUG in rt6_get_pcpu_route() under PREEMPT_RT,net/ipv6/route.c,12,1
6595beb40fb0,64b8bc7d5f14,,networking,2025-12-30 11:45:51 +0100,2023-12-15 11:59:53 +0000,net: rose: fix invalid array index in rose_kill_by_device(),net/rose/af_rose.c,0,0
5939b6dbcda8,50bfd9c06f0f,,drivers,2025-12-30 11:30:41 +0100,2025-11-25 17:44:47 -0800,net: enetc: do not print error log if addr is 0,drivers/net/ethernet/freescale/enetc/netc_blk_ctrl.c,7,1
99537d5c476c,633e98a711ac,,drivers,2025-12-30 11:27:45 +0100,2020-02-27 12:02:14 -0800,net: macb: Relocate mog_init_rings() callback from macb_mac_link_up() to macb_open(),drivers/net/ethernet/cadence/macb_main.c,2,1
6e17474aa9fe,32607a332cfe,,networking,2025-12-30 11:07:38 +0100,2025-04-29 16:22:25 +0200,net: fib: restore ECMP balance from loopback,net/ipv4/fib_semantics.c,10,16
ac782f4e3bfc,493ced1ac47c,,networking,2025-12-30 10:39:22 +0100,2019-06-10 10:44:56 -0700,ipv4: Fix reference count leak when using error routes with nexthop objects,net/ipv4/fib_trie.c,4,3
fa0b198be1c6,c9b37458e956,,drivers,2025-12-30 10:31:54 +0100,2013-09-03 22:26:03 -0400,net: usb: sr9700: fix incorrect command used to write single register,drivers/net/usb/sr9700.c,2,2
58fc7342b529,2917f57b6bc1,,networking,2025-12-29 19:36:45 +0100,2016-06-27 15:06:15 -0400,ipv6: BUG() in pskb_expand_head() as part of calipso_skbuff_setattr(),net/ipv6/calipso.c,2,1
e34f0df3d81a,7ff14c52049e,,drivers,2025-12-29 19:23:34 +0100,2025-11-10 17:28:38 -0800,usbnet: avoid a possible crash in dql_completed(),drivers/net/usb/usbnet.c,2,1
3d970eda0034,1dfc2e46117e,,drivers,2025-12-29 19:09:49 +0100,2024-01-23 17:41:31 -0800,gve: defer interrupt enabling until NAPI registration,drivers/net/ethernet/google/gve/gve_main.c;drivers/net/ethernet/google/gve/gve_utils.c,3,1
a48e23221000,bba2556efad6,,drivers,2025-12-29 17:35:36 +0100,2021-04-13 15:06:51 -0700,net: stmmac: fix the crash issue for zero copy XDP_TX action,drivers/net/ethernet/stmicro/stmmac/stmmac_main.c,15,2
85f4b0c650d9,d45d8979840d,,drivers,2025-12-29 16:46:19 +0100,2020-01-27 14:33:39 +0100,"octeontx2-pf: fix ""UBSAN: shift-out-of-bounds error""",drivers/net/ethernet/marvell/octeontx2/nic/otx2_ethtool.c,8,0
6a02651c4c4b,39ae6c50e599,,drivers,2025-12-29 17:41:21 +0200,2025-11-18 10:52:22 +0200,platform/x86: asus-armoury: fix ppt data for FA507R,drivers/platform/x86/asus-armoury.h,18,3
66e245db16f0,d9a078809356,,drivers,2025-12-29 17:22:44 +0200,2025-07-03 11:09:32 +0300,platform/x86/intel/pmt/discovery: use valid device pointer in dev_err_probe,drivers/platform/x86/intel/pmt/discovery.c,2,2
e44c42c830b7,e6c7b3e15559,,drivers,2025-12-29 15:42:53 +0200,2023-07-10 14:41:28 +0200,platform/x86: hp-bioscfg: Fix out-of-bounds array access in ACPI package parsing,drivers/platform/x86/hp/hp-bioscfg/enum-attributes.c;drivers/platform/x86/hp/hp-bioscfg/int-attributes.c;drivers/platform/x86/hp/hp-bioscfg/order-list-attributes.c;drivers/platform/x86/hp/hp-bioscfg/passwdobj-attributes.c;drivers/platform/x86/hp/hp-bioscfg/string-attributes.c,14,4
